GeneID,Cor,P-Value,Description,GO
BCIN02G08690,0.269126589,0,26S protease regulatory subunit 6b [Botrytis cinerea T4],F:nucleotide binding; F:ATP binding; C:cytoplasm; P:protein catabolic process; P:proteolysis; F:peptidase activity; F:hydrolase activity
BCIN02G07210,0.268819651,0,aldose 1-epimerase,P:carbohydrate metabolic process; F:catalytic activity; F:carbohydrate binding; F:isomerase activity
BCIN14G01840,0.26880659,0,,
BCIN04G05670,0.268740279,0,,
BCIN07G00010,0.268612682,0,,
BCIN09G03990,0.268527784,0,,
BCIN07G01580,0.268471018,0,nucleolar GTP-binding [Botrytis cinerea T4],F:GTP binding; P:ribosome biogenesis; C:nucleolus
BCIN11G05570,0.268391646,0,,
BCIN10G01890,0.268339402,0,,
BCIN12G06560,0.268310768,0,,
BCIN08G05250,0.267997299,0,,
BCIN14G03500,0.267963642,0,eukaryotic translation initiation factor 2 subunit beta [Botrytis cinerea T4],F:translation initiation factor activity; P:translational initiation
BCIN01G05550,0.267878242,0,,
BCIN10G03820,0.267675291,0,eukaryotic translation initiation factor 3 subunit a,F:translation initiation factor activity; P:formation of translation preinitiation complex; C:eukaryotic 43S preinitiation complex; C:eukaryotic 48S preinitiation complex; P:regulation of translational initiation; C:eukaryotic translation initiation factor 3 complex
BCIN04G04130,0.267633093,0,,
BCIN02G01920,0.267590896,0,,
BCIN11G03320,0.267547693,0,,
BCIN13G03450,0.267396485,0,,
BCIN12G06020,0.267293,0,,
BCIN02G07000,0.267276423,0,,
BCIN05G02250,0.267237239,0,,
BCIN01G00640,0.267200065,0,,
BCIN11G00750,0.267059909,0,,
BCIN12G00220,0.267006157,0,pyruvate dehydrogenase dihydrolipoamide acetyltransferase component [Botrytis cinerea 1],C:integral component of membrane; F:transferase activity
BCIN12G04430,0.266786629,0,,
BCIN01G00420,0.266755985,0,plasma membrane stress response (Ist2) [Botrytis cinerea T4],C:membrane; C:integral component of membrane
BCIN02G03290,0.266640444,0,,
BCIN03G00590,0.266523396,0,40S ribosomal S5,F:RNA binding; F:structural constituent of ribosome; C:intracellular ribonucleoprotein complex; C:cytosolic small ribosomal subunit; F:mRNA binding; C:small ribosomal subunit; P:ribosomal small subunit assembly; C:ribosome; F:rRNA binding; P:translation
BCIN11G05660,0.266515358,0,,
BCIN14G04520,0.266495766,0,,
BCIN11G02430,0.266478184,0,,
BCIN10G00770,0.266466127,0,,
BCIN01G02880,0.266451057,0,,
BCIN07G04180,0.266431465,0,,
BCIN08G02940,0.266427949,0,,
BCIN07G07110,0.266257651,0,,
BCIN01G02500,0.266111466,0,,
BCIN02G07550,0.265821106,0,cbs pb1 domain-containing,F:protein binding; F:catalytic activity
BCIN14G02030,0.265795988,0,,
BCIN09G05650,0.265724654,0,,
BCIN03G07020,0.26570456,0,,
BCIN09G06830,0.265695518,0,,
BCIN08G05930,0.265405158,0,,
BCIN02G09190,0.265299161,0,,
BCIN02G05950,0.26526048,0,,
BCIN13G03110,0.265129868,0,-like family domain-containing [Botrytis cinerea T4],no GO terms
BCIN08G06620,0.265032914,0,,
BCIN12G06130,0.265000764,0,,
BCIN07G00150,0.264841518,0,,
BCIN09G06420,0.264731,0,,
BCIN01G05490,0.264726479,0,,
BCIN01G02630,0.264527547,0,,
BCIN16G02100,0.264394423,0,,
BCIN05G07570,0.264300483,0,,
BCIN04G06450,0.264120139,0,,
BCIN01G01970,0.264098035,0,,
BCIN02G06130,0.264012133,0,,
BCIN02G06580,0.263689622,0,,
BCIN08G02950,0.263640894,0,D-arabinitol dehydrogenase [Botrytis cinerea T4],F:oxidoreductase activity; P:oxidation-reduction process
BCIN10G05840,0.263577597,0,mfs multidrug,P:transmembrane transport; C:membrane; C:integral component of membrane
BCIN02G06140,0.263383689,0,,
BCIN03G01920,0.263318886,0,,
BCIN04G02960,0.263269655,0,,
BCIN05G00540,0.263212387,0,,
BCIN01G04950,0.263195809,0,,
BCIN01G07320,0.263063188,0,,
BCIN01G07490,0.26280096,0,,
BCIN06G06600,0.262790913,0,,
BCIN13G00010,0.262781368,0,hypothetical protein BC1G_15526,"F:iron ion binding; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; P:oxidation-reduction process; F:monooxygenase activity; F:heme binding"
BCIN04G00980,0.262763283,0,,
BCIN04G04790,0.262745701,0,,
BCIN12G04180,0.262577413,0,,
BCIN08G01710,0.262396063,0,,
BCIN08G05410,0.262300114,0,dshct domain-containing [Botrytis cinerea 1],F:ATP binding; F:RNA binding; F:RNA helicase activity; P:RNA catabolic process
BCIN07G04390,0.262155436,0,,
BCIN13G03320,0.26203035,0,,
BCIN07G02570,0.261991167,0,,
BCIN03G04740,0.261980115,0,,
BCIN09G06410,0.261920837,0,,
BCIN01G00260,0.261876128,0,,
BCIN07G04230,0.261847996,0,,
BCIN11G04800,0.261766112,0,,
BCIN04G01770,0.261746018,0,,
BCIN09G01290,0.261687745,0,,
BCIN09G05760,0.261687243,0,,
BCIN11G03010,0.261498861,0,,
BCIN05G00660,0.261435564,0,,
BCIN07G06570,0.261422503,0,,
BCIN08G03660,0.261323037,0,,
BCIN02G00440,0.261130636,0,,
BCIN12G06550,0.261114058,0,,
BCIN14G00170,0.261015095,0,,
BCIN01G10290,0.260788031,0,,
BCIN10G02830,0.260678518,0,,
BCIN02G06250,0.260572019,0,,
BCIN02G00990,0.260556949,0,,
BCIN12G06160,0.260531831,0,hypothetical protein BcDW1_488,no GO terms
BCIN12G01270,0.260395693,0,,
BCIN08G03690,0.260274626,0,,
BCIN08G06860,0.260095286,0,,
BCIN06G04560,0.259914942,0,,
BCIN03G04780,0.259812462,0,,
BCIN02G01090,0.259771269,0,,
BCIN05G01590,0.259667784,0,,
BCIN04G03220,0.259537172,0,,
BCIN15G00160,0.259515571,0,,
BCIN09G02170,0.259490956,0,,
BCIN02G08770,0.259476387,0,,
BCIN06G07430,0.259446749,0,hypothetical protein BC1G_14237,no GO terms
BCIN11G01310,0.259390485,0,hypothetical protein BC1G_03976,no GO terms
BCIN12G05550,0.259250831,0,,
BCIN08G04250,0.259191553,0,,
BCIN04G03400,0.259189041,0,,
BCIN15G03200,0.258945903,0,,
BCIN10G03190,0.258784145,0,,
BCIN12G05330,0.25852895,0,,
BCIN14G00290,0.258070301,0,,
BCIN05G01550,0.25804016,0,,
BCIN13G04860,0.257958779,0,PH domain-containing [Botrytis cinerea T4],no GO terms
BCIN03G08030,0.257935671,0,[Botrytis cinerea ],no GO terms
BCIN15G01490,0.257875388,0,,
BCIN06G00790,0.257844242,0,,
BCIN09G05200,0.2577925,0,,
BCIN01G02600,0.257768387,0,,
BCIN04G03250,0.257748795,0,,
BCIN08G02740,0.257598089,0,,
BCIN02G03490,0.257589047,0,,
BCIN13G05480,0.257571967,0,,
BCIN10G02070,0.257507164,0,,
BCIN06G06330,0.257501638,0,60S acidic ribosomal P0 [Botrytis cinerea T4],C:intracellular ribonucleoprotein complex; P:ribosome biogenesis; C:ribosome; C:intracellular
BCIN01G09530,0.257438844,0,,
BCIN06G01840,0.257430806,0,Grp1p [Botrytis cinerea T4],F:nucleotide binding; F:nucleic acid binding
BCIN05G07070,0.257375547,0,,
BCIN16G01990,0.257175108,0,,
BCIN10G04210,0.257128389,0,,
BCIN01G01320,0.257112314,0,,
BCIN01G05840,0.257011341,0,,
BCIN12G00720,0.257006318,0,,
BCIN16G00350,0.256987731,0,,
BCIN02G08610,0.256944026,0,,
BCIN03G03440,0.256908861,0,,
BCIN14G00410,0.256862142,0,,
BCIN03G03660,0.256823461,0,transaldolase [Botrytis cinerea T4],F:nucleic acid binding
BCIN12G00030,0.25679332,0,,
